########### Client Side ##############

// could not finish due to time constraints

########### Server Side ##############
Timestamp,CPU_Usage(%),Memory_Usage(KB)
Sun Dec  1 22:43:46 2024,0,3584
Sun Dec  1 22:44:46 2024,0,3584
Sun Dec  1 22:45:46 2024,0,3584
Sun Dec  1 22:46:46 2024,0,3584
Sun Dec  1 22:47:46 2024,0,3584
Sun Dec  1 22:48:46 2024,0,3584
Sun Dec  1 22:49:46 2024,0,3584
Sun Dec  1 22:50:46 2024,0,3584
Sun Dec  1 22:51:46 2024,0,3584
Sun Dec  1 22:52:46 2024,0,3584
Sun Dec  1 22:53:46 2024,0,3584
Sun Dec  1 22:54:46 2024,0,3584
Sun Dec  1 22:55:46 2024,0,3584
Sun Dec  1 22:56:46 2024,0,3584
Sun Dec  1 22:57:46 2024,0,3584
Sun Dec  1 22:58:46 2024,0,3584
Sun Dec  1 22:59:46 2024,0,3584
Sun Dec  1 23:00:46 2024,0,3584
Sun Dec  1 23:01:46 2024,0,3584
Sun Dec  1 23:02:46 2024,0,3584
Sun Dec  1 23:03:46 2024,0,3584
Sun Dec  1 23:04:46 2024,0,3584
Sun Dec  1 23:05:46 2024,0,3584
Sun Dec  1 23:06:46 2024,0,3584
Sun Dec  1 23:07:46 2024,0,3584
Sun Dec  1 23:08:46 2024,0,3584
Sun Dec  1 23:09:46 2024,0,3584
Sun Dec  1 23:10:46 2024,0,3584
Sun Dec  1 23:11:46 2024,0,3584
Sun Dec  1 23:12:46 2024,0,3584
Sun Dec  1 23:13:46 2024,0,3584
Sun Dec  1 23:14:46 2024,0,3584
Sun Dec  1 23:15:46 2024,0,3584
Sun Dec  1 23:16:46 2024,0,3584
Sun Dec  1 23:17:46 2024,0,3584
Sun Dec  1 23:18:46 2024,0,3584
Sun Dec  1 23:19:46 2024,0,3584
Sun Dec  1 23:20:46 2024,0,3584
Sun Dec  1 23:21:46 2024,0,3584
Sun Dec  1 23:22:46 2024,0,3584
Sun Dec  1 23:23:46 2024,0,3584
Sun Dec  1 23:24:46 2024,0,3584
