########### Client Side ###############
Sent 10000 packets (7687908 bytes).
Latency: 116.261 ms per packet
Bandwidth: 0.00630629 MB/s



############ Server Side ###############
Timestamp,CPU_Usage(%),Memory_Usage(KB)
Sun Dec  1 22:18:44 2024,0,3712
Sun Dec  1 22:19:44 2024,0,3712
Sun Dec  1 22:20:44 2024,0,3712
Sun Dec  1 22:21:44 2024,0,3712
Sun Dec  1 22:22:44 2024,0,3712
Sun Dec  1 22:23:44 2024,0,3712
Sun Dec  1 22:24:44 2024,0,3712
Sun Dec  1 22:25:44 2024,0,3712
Sun Dec  1 22:26:44 2024,0,3712
Sun Dec  1 22:27:44 2024,0,3712
Sun Dec  1 22:28:44 2024,0,3712
Sun Dec  1 22:29:44 2024,0,3712
Sun Dec  1 22:30:44 2024,0,3712
Sun Dec  1 22:31:44 2024,0,3712
Sun Dec  1 22:32:44 2024,0,3712
Sun Dec  1 22:33:44 2024,0,3712
Sun Dec  1 22:34:44 2024,0,3712
Sun Dec  1 22:35:44 2024,0,3712
Sun Dec  1 22:36:44 2024,0,3712
Sun Dec  1 22:37:44 2024,0,3712
